longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time
74.4,31.6,0.9693114,8.675244,154.94232,474.2355,19.759531,55.253033,105.191795,1266.5853,2019-10-07 06:00:00
74.4,31.6,0.5660482,5.6661067,161.72145,371.5858,14.244165,50.19328,94.81676,1263.4158,2019-10-07 09:00:00
74.4,31.6,23.67967,73.6966,18.435108,1635.5035,105.821556,76.07336,117.459076,1276.3026,2019-10-07 18:00:00
74.4,31.6,42.759373,75.9354,9.038109,2004.9681,126.035515,86.391045,133.83276,1277.3295,2019-10-07 21:00:00
74.4,31.6,1.792985,37.877193,114.07352,769.7948,44.51038,54.366043,87.18075,1265.7263,2019-10-08 12:00:00
74.4,31.6,113.06424,112.433685,21.731403,4197.3516,242.99893,168.9993,251.4689,1281.5927,2019-10-08 15:00:00
74.4,31.6,89.45302,86.00147,0.18551506,3071.318,186.33202,119.78649,184.60538,1279.0908,2019-10-08 00:00:00
74.4,31.6,22.69081,79.254875,44.0155,1843.3743,100.513275,90.986694,144.06215,1274.003,2019-10-08 03:00:00
74.4,31.6,1.2738347,9.559291,154.18631,451.96277,20.378431,48.646336,85.84366,1263.0001,2019-10-08 06:00:00
74.4,31.6,0.57241964,5.791189,167.17331,352.1211,14.325218,43.299206,74.08206,1260.6383,2019-10-08 09:00:00
74.4,31.6,227.96123,149.03922,0.17954917,7260.827,376.73352,273.78827,402.16315,1281.7761,2019-10-08 18:00:00
74.4,31.6,317.23947,181.1573,0.020228442,9785.124,443.358,339.21,495.7869,1281.4098,2019-10-08 21:00:00
74.4,31.6,0.5409454,6.1248727,172.98608,391.31815,13.561899,51.52251,82.22526,1260.2368,2019-10-09 09:00:00
74.4,31.6,205.58488,131.1564,0.09376109,6793.229,307.3414,278.4228,409.05292,1281.5271,2019-10-09 21:00:00
74.4,31.6,59.74639,99.56306,0.0000123,3177.9111,117.175674,133.72134,199.18407,1278.2937,2019-10-09 00:00:00
74.4,31.6,18.821571,74.65067,50.648506,1896.2362,72.02495,106.72512,161.14456,1273.922,2019-10-09 03:00:00
74.4,31.6,0.90580595,8.743793,167.94534,483.0772,17.647278,58.516045,93.24887,1263.6852,2019-10-09 06:00:00
74.4,31.6,1.7989038,42.19299,124.94932,883.5301,47.550846,61.664646,95.752594,1265.5536,2019-10-09 12:00:00
74.4,31.6,103.897316,101.99035,31.849873,3891.8037,221.6806,160.00182,236.01236,1280.0446,2019-10-09 15:00:00
74.4,31.6,154.42468,115.97476,9.4667015,5306.6675,265.91968,215.81013,317.19226,1281.1128,2019-10-09 18:00:00
74.4,31.6,213.83293,145.83165,0.0809834,7038.8677,316.44553,280.27167,403.26825,1281.3297,2019-10-10 21:00:00
74.4,31.6,0.9204811,31.56035,153.50581,782.75006,38.68459,54.861866,81.64798,1267.3579,2019-10-10 12:00:00
74.4,31.6,67.071106,91.68331,47.56483,2964.7703,172.86522,130.38383,189.13016,1279.9385,2019-10-10 15:00:00
74.4,31.6,178.05234,102.07655,9.9154825,5672.0156,278.5336,282.16766,418.09048,1281.5944,2019-10-10 00:00:00
74.4,31.6,24.104921,103.948395,64.60517,2667.4912,91.36125,162.22444,245.43861,1272.1243,2019-10-10 03:00:00
74.4,31.6,0.8759507,10.107331,210.28096,650.8837,22.297104,77.6532,119.1736,1263.5908,2019-10-10 06:00:00
74.4,31.6,0.54919696,7.370697,207.78336,505.19254,18.19376,60.34371,93.03055,1263.5178,2019-10-10 09:00:00
74.4,31.6,167.42249,98.4959,29.392517,5150.22,286.86755,215.82236,311.11304,1281.6757,2019-10-10 18:00:00
74.4,31.6,1.3447909,16.351254,181.1395,602.24774,28.381372,59.231323,93.93881,1264.5543,2019-10-11 09:00:00
74.4,31.6,0.15709247,41.14208,33.36227,924.23773,63.491543,141.29547,210.9051,1279.7368,2019-10-11 21:00:00
74.4,31.6,37.472404,88.15289,0.09171916,2997.0671,93.14805,415.40625,596.7943,1281.6017,2019-10-11 00:00:00
74.4,31.6,9.772043,66.907326,69.86151,1957.5887,87.78405,218.19978,315.86172,1275.3734,2019-10-11 03:00:00
74.4,31.6,0.9989229,9.806365,171.24887,526.41614,21.83641,66.87927,103.222595,1265.4469,2019-10-11 06:00:00
74.4,31.6,0.6991172,37.106216,143.42844,890.0048,46.320564,88.60454,136.28523,1270.7673,2019-10-11 12:00:00
74.4,31.6,0.046166804,38.90157,86.65934,1090.9506,47.540806,147.05318,219.16156,1278.2494,2019-10-11 15:00:00
74.4,31.6,0.062182438,30.081133,61.18268,809.07,47.622696,114.79891,170.72923,1277.2543,2019-10-11 18:00:00
74.4,31.6,0.4659853,6.413986,205.58295,476.59775,16.505991,65.11728,104.054016,1265.3702,2019-10-12 09:00:00
74.4,31.6,0.48868573,39.679527,149.18439,940.3864,45.430653,88.949295,139.94934,1269.4532,2019-10-12 12:00:00
74.4,31.6,234.32808,150.74869,0.0000123,7376.4517,422.19104,307.2084,450.98465,1281.2773,2019-10-12 00:00:00
74.4,31.6,37.488697,142.14018,57.920307,3644.3447,156.03181,208.95952,310.39832,1276.3867,2019-10-12 03:00:00
74.4,31.6,1.0089849,11.323718,205.02826,720.0602,25.17379,95.58771,153.6476,1266.7625,2019-10-12 06:00:00
74.4,31.6,35.835117,94.67819,47.35433,2596.4377,120.509285,143.95436,213.86275,1277.8837,2019-10-12 15:00:00
74.4,31.6,67.05049,91.77963,23.411165,3340.439,146.81155,174.75987,257.4935,1280.1903,2019-10-12 18:00:00
